#name    	ra         	dec         	V    	spt  	Teff   	Tefferr	rv      	rverr  	rvref         	vsini	vsinierr	vsiniref           	exptime 	jd           	barycorr
HD4622   	00 00 01.06	-21 -21 21.0	5.57	B9V	10309.5	446.5	21.5	1.9	Kharchenko2007	61.0	nan     	Royer2007          	300.0	2458425.71987	-17.571
ECen     	12 12 14.71	-48 -48 32.9	5.34	A0V	9893.0	7.0	7.2	0.5	Gontcharov2006	74.0	nan     	Royer2007          	130.103	2458648.67736	-18.139
HD91375  	10 10 20.13	-71 -71 34.1	4.718	A1V	9333.0	nan	7.5	0.4	Gontcharov2006	10.0	nan     	Royer2007          	62.554	2458593.72354	2.856
HD65900  	08 08 13.89	+04 +04 47.4	5.646	A1V	9570.5	91.2	44.2	0.1	Gontcharov2006	33.0	nan     	Royer2007          	300.0	2458429.97064	27.967
HD106819 	12 12 03.33	-16 -16 37.5	6.07	A2V	8770.0	163.0	-11.7	1.6	Gontcharov2006	79.0	0.6     	Diaz2011           	400.0	2458719.60207	-18.578
HIP113673	23 23 23.04	-22 -22 27.2	6.28	A2V	8299.0	77.0	-10.4	0.5	Gontcharov2006	91.9	1.3     	Diaz2011           	150.0	2458728.84804	-1.571
HD138105 	15 15 36.25	-20 -20 42.8	6.205	A3V	8072.0	75.0	-10.9	1.5	Gontcharov2006	29.0	nan     	Royer2007          	358.644	2458654.83141	-16.224
HD96568  	11 11 24.25	-64 -64 23.9	6.381	A3V	8511.0	79.0	-3.0	0.4	Gontcharov2006	13.0	nan     	Royer2007          	600.0	2458578.83329	4.643
HD168525 	18 18 12.41	-26 -26 06.4	6.9	A6V	8017.0	206.0	-9.4	0.4	Gontcharov2006	12.0	nan     	Royer2007          	410.778	2458668.85365	-3.92
73Vir    	13 13 02.81	-18 -18 44.0	6.008	A7V	7962.0	92.0	-17.5	0.9	Kharchenko2007	61.0	nan     	Royer2007          	205.214	2458721.55305	-24.304
betOct   	22 22 03.51	-81 -81 53.8	4.141	A9V	7745.0	54.0	27.072	0.405	Yep2020       	49.0	nan     	Royer2007          	33.784	2458707.77746	-7.08
alfCrv   	12 12 24.82	-24 -24 44.0	4.0	F1V	7011.0	148.4	2.8	0.3	Gontcharov2006	16.9	1.5     	Ammler-VonEiff2012 	33.79	2458668.57752	-27.506
HD40136  	05 05 24.29	-14 -14 03.7	3.72	F1V	7009.5	134.7	-2.031	0.422	Yep2020       	16.99	nan     	Martinez-Arnaiz2010	17.779	2458414.82748	20.267
ksiOph   	17 17 00.38	-21 -21 46.6	4.39	F2V	6756.0	108.1	-8.93	0.3	Gaia2018      	19.5	1.0     	Ammler-VonEiff2012 	40.788	2458666.70735	-9.596
58Oph    	17 17 25.79	-21 -21 59.5	4.873	F5V	6421.0	88.8	10.16	0.23	Gaia2018      	11.8	0.6     	Ammler-VonEiff2012 	150.0	2458653.85836	-0.888
53Vir    	13 13 03.54	-16 -16 55.0	5.04	F5.5V	6375.0	427.8	-12.524	0.1	Yep2020       	11.7	1.0     	Ammler-VonEiff2012 	150.0	2458700.55728	-27.697
tauPsA   	22 22 08.78	-32 -32 54.3	4.92	F6V	6358.0	81.7	-16.259	0.1	Nidever2002   	14.1	0.7     	Ammler-VonEiff2012 	150.0	2458670.89137	17.157
HD30652  	04 04 50.41	+06 +06 40.6	3.19	F6V	6440.0	159.2	24.11	0.08	Maldonado2010 	16.8	0.4     	Marsden2014        	60.0	2458375.93957	28.04
HD38393  	05 05 27.79	-22 -22 54.2	3.6	F6V	6305.0	249.1	-9.19	0.19	Montes2018    	9.84	nan     	Martinez-Arnaiz2010	19.705	2458595.49016	-17.082
HD40397  	05 05 21.54	-04 -04 02.4	6.984	F7V	5498.0	41.3	143.621	0.1	Nidever2002   	1.861	0.182   	Soto2018           	1000.0	2458890.97357	-21.104
20Oph    	16 16 50.02	-10 -10 58.8	4.646	F7V	6382.0	86.9	1.56	0.27	Gaia2018      	12.0	nan     	Takeda2005         	71.193	2458666.70662	-13.375
gamPav   	21 21 26.6	-65 -65 58.3	4.22	F9V	6072.0	137.9	-29.84	0.19	Gaia2018      	3.7	0.7     	Ammler-VonEiff2012 	30.05	2458726.64252	-12.771
HD34721  	05 05 50.47	-18 -18 48.2	5.96	G0V	6001.0	96.5	40.448	0.1	Nidever2002   	4.4	0.2     	Ammler-VonEiff2012 	400.0	2458787.00317	14.051
HD9562   	01 01 42.84	-07 -07 31.2	5.76	G1V	5851.5	63.3	-14.989	0.1	Nidever2002   	4.2	0.5     	Marsden2014        	300.0	2458786.78571	-9.315
HD38858  	05 05 34.94	-04 -04 40.7	5.97	G2V	5733.0	421.9	31.543	0.1	Nidever2002   	4.2	nan     	Schroder2009       	400.0	2458787.01397	19.839
HD114613 	13 13 03.19	-37 -37 10.9	5.55	G3V	5675.5	43.3	-12.85	0.18	Gaia2018      	2.381	0.229   	Soto2018           	119.476	2458697.61468	-26.049
HD59967  	07 07 42.51	-37 -37 21.7	6.635	G3V	5825.5	53.8	9.37	0.18	Gaia2018      	3.4	nan     	Schroder2009       	800.0	2458888.87243	-4.143
HD4391   	00 00 45.59	-47 -47 07.1	5.8	G3V	5878.0	63.5	-11.01	0.21	Gaia2018      	5.0	nan     	Schroder2009       	300.0	2458424.76105	-16.983
HD111031 	12 12 30.84	-11 -11 44.8	6.87	G5V	5782.0	44.8	-20.458	0.1	Nidever2002   	1.728	0.273   	Soto2018           	1000.0	2458895.18218	22.603
HD90156  	10 10 55.27	-29 -29 43.9	6.92	G5V	5619.0	31.3	26.934	0.1	Nidever2002   	0.73	0.236   	Soto2018           	1000.0	2458888.16915	12.828
HD21019  	03 03 17.7	-07 -07 38.8	6.2	G5.5V	5468.0	78.0	41.63	0.1	Nidever2002   	2.502	0.419   	Soto2018           	500.0	2458791.90491	1.448
HD115617 	13 13 24.31	-18 -18 40.3	4.74	G6.5V	5557.0	56.5	-7.85	0.1	Nidever2002   	3.9	0.9     	Ammler-VonEiff2012 	120.0	2458723.50574	-22.668
HD10700  	01 01 04.08	-15 -15 14.9	3.5	G8V	5339.5	102.4	-16.619	0.1	Nidever2002   	3.26	nan     	Martinez-Arnaiz2010	60.0	2458328.94374	25.153
epsFor   	03 03 37.64	-28 -28 29.6	5.85	G9V	5078.0	110.7	38.36	0.1	Yep2020       	4.2	nan     	Schroder2009       	400.0	2458787.72822	-2.318
HD100623 	11 11 29.49	-32 -32 52.8	5.98	K0V	5164.5	71.5	-21.959	0.1	Nidever2002   	6.79	nan     	Martinez-Arnaiz2010	300.0	2458884.95755	20.335
41Ara    	17 17 03.84	-46 -46 10.4	5.48	K0V	5241.0	60.4	26.005	0.1	Yep2020       	4.5	nan     	Schroder2009       	138.669	2458666.73783	-8.194
HD26965  	04 04 16.32	-07 -07 10.3	4.43	K0V	5153.0	395.2	-42.331	0.1	Nidever2002   	0.5	0.3     	Marsden2014        	70.0	2458887.58382	-26.165
12Oph    	16 16 21.45	-02 -02 28.5	5.77	K1V	5263.5	47.0	-12.857	0.1	Nidever2002   	2.2	0.4     	Marsden2014        	300.0	2458666.78097	-14.997
HD22049  	03 03 55.84	-09 -09 29.7	3.73	K2V	5084.0	71.3	16.332	0.1	Nidever2002   	2.4	0.4     	Marsden2014        	18.677	2458414.78487	7.981
HD32147  	05 05 49.0	-05 -05 13.2	6.21	K3V	4805.5	95.4	21.552	0.1	Nidever2002   	1.7	0.4     	Marsden2014        	500.0	2458863.77511	-17.705
HD16160  	02 02 04.89	+06 +06 12.7	5.83	K3V	4858.0	95.8	24.37	0.1	Yep2020       	2.9	0.4     	Marsden2014        	120.0	2458429.67067	-3.295
