#name 	 spt 	 sval 	 Teff 	 Tefferr 	 V 	 ra 	 dec 	 vsini 	 vsinierr 	 rv 	 rverr 	 ref 	 achi 	 jd 	 obsra 	 obsdec 	 exptime 	 barycorr 	 obsnotes
HD4622 	 B9V 	 51.0 	 10327.0 	 481.280468011 	 5.57 	 00 48 01.0647 	 -21 43 20.991 	 61.0 	 nan 	 21.5 	 1.9 	 Soubiran2016Royer2007Kharchenko2007 	 achi181102.1137.fits 	 2458425.71987 	 12.0122083333 	 -21.7220833333 	 300.0 	 -17.5713692 	 GOOD:36700.4-130457.0
ECen 	 A0V 	 50.0 	 9893.0 	 7.0 	 5.34 	 12 08 14.7120 	 -48 41 32.949 	 74.0 	 nan 	 7.2 	 0.5 	 Soubiran2016Royer2007Gontcharov2006 	 achi190613.1136.fits 	 2458648.67736 	 182.068583333 	 -48.6965277778 	 130.103 	 -18.1391489162 	 GOOD-underexposed:12092.7-41366.9
HD91375 	 A1V 	 49.0 	 9333.0 	 9333.0 	 4.718 	 10 30 20.1271 	 -71 59 34.060 	 10.0 	 nan 	 7.5 	 0.4 	 Soubiran2016Royer2002Gontcharov2006 	 achi190419.1134.fits 	 2458593.72354 	 157.576291667 	 -71.9932222222 	 62.554 	 2.8558789616 	 GOOD-underexposed:13220.5-42994.8
HD65900 	 A1V 	 49.0 	 9570.5 	 91.1825092877 	 5.646 	 08 01 13.8914 	 +04 52 47.363 	 33.0 	 nan 	 44.2 	 0.1 	 Soubiran2016Royer2007Gontcharov2006 	 achi181106.1174.fits 	 2458429.97064 	 120.318208333 	 4.88152777778 	 300.0 	 27.9674699419 	 GOOD:27541.1-113069.0
HD106819 	 A2V 	 48.0 	 8770.0 	 8770.0 	 6.07 	 12 17 03.3331 	 -16 41 37.454 	 79.0 	 0.6 	 -11.7 	 1.6 	 Soubiran2016Diaz2011Gontcharov2006 	 achi190823.1116.fits 	 2458719.60207 	 184.274083333 	 -16.6986944444 	 400.0 	 -18.5782320824 	 GOOD-underexposed:14035.1-36722.9
HIP113673 	 A2V 	 48.0 	 8299.0 	 8299.0 	 6.28 	 23 01 23.0444161255 	 -22 47 27.221819786 	 91.9 	 1.3 	 -10.4 	 0.5 	 Diaz2011Gontcharov2006 	 achi190901.1156.fits 	 2458728.84804 	 345.352708333 	 -22.7937222222 	 150.0 	 -1.57130762883 	 GOOD-underexposed:13194.2-33815.0
HD138105 	 A3V 	 47.0 	 8072.0 	 8072.0 	 6.205 	 15 30 36.2522 	 -20 43 42.792 	 29.0 	 nan 	 -10.9 	 1.5 	 Soubiran2016Royer2007Gontcharov2006 	 achi190619.1164.fits 	 2458654.83141 	 232.658916667 	 -20.7342222222 	 358.644 	 -16.2239020441 	 GOOD-underexposed:16286.1-43594.4
HD96568 	 A3V 	 47.0 	 8511.0 	 8511.0 	 6.381 	 11 06 24.2527 	 -64 50 23.904 	 13.0 	 nan 	 -3.0 	 0.4 	 Soubiran2016Royer2007Gontcharov2006 	 achi190404.1138.fits 	 2458578.83329 	 166.598833333 	 -64.8404722222 	 600.0 	 4.64329177868 	 GOOD:49882.5-128463.0
HD168525 	 A6V 	 44.0 	 8017.0 	 8017.0 	 6.9 	 18 21 12.4078 	 -26 05 06.416 	 12.0 	 nan 	 -9.4 	 0.4 	 Soubiran2016Royer2007Gontcharov2006 	 achi190703.1162.fits 	 2458668.85365 	 275.307583333 	 -26.0863055556 	 410.778 	 -3.91953287381 	 GOOD-underexposed:16428.6-43312.2
73Vir 	 A7V 	 43.0 	 7962.0 	 7962.0 	 6.008 	 13 32 02.8065 	 -18 43 43.958 	 61.0 	 nan 	 -17.5 	 0.9 	 Soubiran2016Royer2007Kharchenko2007 	 achi190825.1117.fits 	 2458721.55305 	 203.021125 	 -18.7326944444 	 205.214 	 -24.3037740714 	 GOOD-underexposed:16236.6-42354.2
betOct 	 A9V 	 41.0 	 7745.0 	 7745.0 	 4.141 	 22 46 03.5110 	 -81 22 53.812 	 49.0 	 nan 	 19.0 	 0.6 	 Soubiran2016Royer2007Gontcharov2006 	 achi190811.1168.fits 	 2458707.77746 	 341.504916667 	 -81.3780555556 	 33.784 	 -7.07980650809 	 GOOD-underexposed:16923.8-42443.2
