#name    	ra         	dec        	V    	spt  	Teff   	Tefferr	rv     	rverr	rref	vsini	vsinierr	vref	[Fe/H]	fref	exptime	jd         	barycorr
zetOph   	16 37 09.54	-10 34 01.5	2.56	O9.5V	29242.0	2044.9	-9.0	5.5	15	311.0	8.0     	31	nan	nan	20.0	2458559.782	28.482
HD4622   	00 48 01.06	-21 43 21.0	5.57	B9V	10309.5	446.5	21.5	1.9	15	61.0	nan     	17	nan	nan	300.0	2458425.72	-17.571
ECen     	12 08 14.71	-48 41 32.9	5.34	A0V	9893.0	7.0	7.2	0.5	11	74.0	nan     	17	nan	nan	130.0	2458648.677	-18.139
HD91375  	10 30 20.13	-71 59 34.1	4.718	A1V	9333.0	nan	7.5	0.4	11	10.0	nan     	17	0.06	5 	63.0	2458593.724	2.856
HD65900  	08 01 13.89	+04 52 47.4	5.646	A1V	9570.5	91.2	44.2	0.1	11	33.0	nan     	17	0.25	30	300.0	2458429.971	27.967
HD106819 	12 17 03.33	-16 41 37.5	6.07	A2V	8770.0	163.0	-11.7	1.6	11	79.0	0.6     	24	nan	nan	400.0	2458719.602	-18.578
HIP113673	23 01 23.04	-22 47 27.2	6.28	A2V	8299.0	77.0	-10.4	0.5	11	91.9	1.3     	24	nan	nan	150.0	2458728.848	-1.571
HD138105 	15 30 36.25	-20 43 42.8	6.205	A3V	8072.0	75.0	-10.9	1.5	11	29.0	nan     	17	nan	nan	359.0	2458654.831	-16.224
HD96568  	11 06 24.25	-64 50 23.9	6.381	A3V	8511.0	79.0	-3.0	0.4	11	13.0	nan     	17	nan	nan	600.0	2458578.833	4.643
HD216956 	22 57 39.05	-29 37 20.1	1.16	A4V	8616.0	343.7	6.5	0.5	11	91.6	0.5     	24	0.49	8 	5.0	2458740.652	-8.406
HD168525 	18 21 12.41	-26 05 06.4	6.9	A6V	8017.0	206.0	-9.4	0.4	11	12.0	nan     	17	nan	nan	411.0	2458668.854	-3.92
73Vir    	13 32 02.81	-18 43 44.0	6.008	A7V	7962.0	92.0	-17.5	0.9	15	61.0	nan     	17	-0.02	36	205.0	2458721.553	-24.304
betOct   	22 46 03.51	-81 22 53.8	4.141	A9V	7745.0	54.0	26.843	1.341	41	49.0	nan     	17	nan	nan	34.0	2458707.777	-7.08
alfCrv   	12 08 24.82	-24 43 44.0	4.0	F1V	7011.0	148.4	2.8	0.3	11	16.9	1.5     	25	-0.08	12	34.0	2458668.578	-27.506
HD40136  	05 56 24.29	-14 10 03.7	3.72	F1V	7009.5	134.7	-2.064	0.421	41	16.99	nan     	23	-0.1	26	18.0	2458414.827	20.267
ksiOph   	17 21 00.38	-21 06 46.6	4.39	F2V	6756.0	108.1	-8.93	0.3	37	19.5	1.0     	25	-0.19	38	41.0	2458666.707	-9.596
58Oph    	17 43 25.79	-21 40 59.5	4.873	F5V	6421.0	88.8	10.16	0.23	37	11.8	0.6     	25	-0.09	38	150.0	2458653.858	-0.888
53Vir    	13 12 03.54	-16 11 55.0	5.04	F5.5V	6375.0	427.8	-12.552	0.112	41	11.7	1.0     	25	-0.21	26	150.0	2458700.557	-27.697
tauPsA   	22 10 08.78	-32 32 54.3	4.92	F6V	6358.0	81.7	-16.259	0.1	7 	14.1	0.7     	25	0.09	10	150.0	2458670.891	17.157
HD30652  	04 49 50.41	+06 57 40.6	3.19	F6V	6440.0	159.2	24.321	0.246	41	16.8	0.4     	29	0.03	10	60.0	2458375.94	28.04
HD38393  	05 44 27.79	-22 26 54.2	3.6	F6V	6305.0	249.1	-9.19	0.19	39	9.84	nan     	23	-0.02	38	20.0	2458595.49	-17.082
20Oph    	16 49 50.02	-10 46 58.8	4.646	F7V	6382.0	86.9	1.56	0.27	37	12.0	nan     	9 	0.02	35	71.0	2458666.707	-13.375
